weekday,day,month,year,time,aircraft_type,num_of_engines,engine_type,engine_model,years_active,airframe_hrs,operator,occupants,accident_loc,above_ocean,flight_phase,damage,accident_latitude,accident_longtitude,fatalities
7,2.0,8,1919,13.56666667,98,3.0,1,51,0.0,0.0,623,14.0,89,0,5.0,4.0,45.396389,10.888056,14.0
2,11.0,8,1919,13.56666667,159,5.0,1,95,0.75,890.25,1722,7.0,187,0,4.0,3.0,51.94137,1.306789,1.0
4,18.0,8,1926,14.5,51,4.0,1,88,0.0,47.0,314,15.0,187,0,5.0,3.0,-51.174,0.868,4.0
2,22.0,8,1927,8.25,166,2.0,1,9,1.0,1187.0,1202,11.0,187,0,5.0,3.0,51.25,0.216,1.0
3,19.0,3,1929,13.56666667,169,3.0,1,78,0.0,0.0,936,4.0,188,0,6.0,3.0,42.3,-83.21666,4.0
2,17.0,6,1929,11.5,182,3.0,1,61,3.0,3561.0,1104,13.0,187,0,5.0,3.0,50.9085,1.046,7.0
2,24.0,11,1930,13.56666667,169,3.0,1,78,1.0,1187.0,936,2.0,188,0,6.0,3.0,42.3,-83.21666,2.0
3,31.0,3,1931,10.83333333,165,3.0,1,78,2.0,1887.0,2124,8.0,188,0,5.0,4.0,38.235833,-96.586667,8.0
4,22.0,4,1931,13.56666667,31,3.0,1,5,3.0,3561.0,1104,1.0,187,0,3.0,4.0,51.351026,-0.119343,0.0
3,28.0,3,1933,14.5,31,3.0,1,5,5.0,5935.0,1104,15.0,18,0,5.0,4.0,51.044,2.85,15.0
5,20.0,12,1934,13.56666667,136,2.0,1,117,0.333333333,284.0,1202,7.0,86,0,5.0,4.0,32.898,40.284,7.0
7,6.0,4,1935,15.3,167,3.0,1,78,5.0,5935.0,1202,7.0,68,0,5.0,4.0,51.411724,8.788414,7.0
7,18.0,5,1935,13.56666667,278,8.0,1,60,0.916666667,1088.083333729,2166,35.0,147,0,8.0,3.0,55.8051,37.506,35.0
